"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"oecd",1,85,0.294117647058824,0.458349248514106,0,0.246376811594203,0,0,1,1,0.887795532651322,-1.22582698961938,0.049714956160501
"country*",2,85,43,24.6813019645777,43,43,31.1346,1,85,84,0,-1.2424282610445,2.67706306736817
"pind",3,85,0.460090161681257,0.465971986176311,0.418871313333511,0.45083570641894,0.621018609148264,0,1,1,0.131763079205912,-1.88704990721426,0.0505417581459478
"pindo",4,85,0.60613663927378,0.457373904932402,0.899999976158142,0.63074803388799,0.148260035347939,0,1,1,-0.458168826018812,-1.69108429886797,0.0496091652956462
"ctrycd",5,85,430.882352941176,284.888675490917,299,406.855072463768,240.1812,111,968,857,0.627647177407654,-1.08297275572132,30.9005154007976
"col_uk",6,85,0.352941176470588,0.480720747393734,0,0.318840579710145,0,0,1,1,0.604628448058856,-1.65346335325574,0.0521414859075246
"t_indep",7,85,119.729411764706,89.7589879085328,92,117.478260869565,114.1602,6,250,244,0.262955490407555,-1.53758646635053,9.73572917016863
"col_uka",8,85,0.281741177334505,0.392805513403698,0,0.242724638918172,0,0,0.927999973297119,0.927999973297119,0.708096930397853,-1.44071940952136,0.0426057399281782
"col_espa",9,85,0.0579764697481604,0.133014316620418,0,0.0300289852463681,0,0,0.787999987602234,0.787999987602234,2.68180056426971,9.06542597778149,0.0144274283004514
"col_otha",10,85,0.218447058341082,0.360102151009691,0,0.157623188219209,0,0,0.976000010967255,0.976000010967255,1.16467749967331,-0.417679124821822,0.0390585622400076
"legor_uk",11,85,0.388235294117647,0.490240894309911,0,0.36231884057971,0,0,1,1,0.450594098826025,-1.81793887773127,0.0531740908220382
"legor_so",12,85,0.129411764705882,0.337647156423531,0,0.0434782608695652,0,0,1,1,2.16929636003237,2.73847767868529,0.036622976112062
"legor_fr",13,85,0.352941176470588,0.480720747393734,0,0.318840579710145,0,0,1,1,0.604628448058856,-1.65346335325574,0.0521414859075246
"legor_ge",14,85,0.0705882352941176,0.257655884120368,0,0,0,0,1,1,3.29400481607824,8.95624895974772,0.0279467044509511
"legor_sc",15,85,0.0588235294117647,0.236690534165575,0,0,0,0,1,1,3.68401854942419,11.7101730103806,0.0256726929689403
"prot80",16,85,17.4623529446476,25.4975487293163,2.70000004768372,12.2362319324975,3.85476006848663,0,97.8000030517578,97.8000030517578,1.65499087306778,1.99301397000161,2.76559745955204
